ROWID,Country,State LGD Code,State,SourceYear,"State wise Macro Nutrient Status for Cycle I, Cycle II ,Cycle III","Fertilizers used in cycle namely Nitrogen, phosphorous, Potassium, organic carbon",Fertilizers level,Count of Nutrient status involved in three cycles,Samples under each cycle,YearCode,Year
1000,India,2,HIMACHAL PRADESH,2017-18,Cycle 2,Phosphorous (P),M,65754,107614,2017,"Financial Year (Apr - Mar), 2017"
1001,India,32,KERALA,2017-18,Cycle 2,Nitrogen (N),H,0,133507,2017,"Financial Year (Apr - Mar), 2017"
1002,India,32,KERALA,2017-18,Cycle 2,Nitrogen (N),VH,1,133507,2017,"Financial Year (Apr - Mar), 2017"
1003,India,32,KERALA,2017-18,Cycle 2,Nitrogen (N),M,11,133507,2017,"Financial Year (Apr - Mar), 2017"
1004,India,32,KERALA,2017-18,Cycle 2,Nitrogen (N),L,31,133507,2017,"Financial Year (Apr - Mar), 2017"
1005,India,32,KERALA,2017-18,Cycle 2,Nitrogen (N),VL,735,133507,2017,"Financial Year (Apr - Mar), 2017"
1006,India,32,KERALA,2017-18,Cycle 2,Potassium (K),VH,3853,133507,2017,"Financial Year (Apr - Mar), 2017"
1007,India,32,KERALA,2017-18,Cycle 2,Organic Carbon (OC),VL,6202,133507,2017,"Financial Year (Apr - Mar), 2017"
1008,India,32,KERALA,2017-18,Cycle 2,Phosphorous (P),H,10641,133507,2017,"Financial Year (Apr - Mar), 2017"
1009,India,32,KERALA,2017-18,Cycle 2,Potassium (K),VL,13594,133507,2017,"Financial Year (Apr - Mar), 2017"
1010,India,32,KERALA,2017-18,Cycle 2,Phosphorous (P),VH,14103,133507,2017,"Financial Year (Apr - Mar), 2017"
1011,India,32,KERALA,2017-18,Cycle 2,Organic Carbon (OC),L,19441,133507,2017,"Financial Year (Apr - Mar), 2017"
1012,India,32,KERALA,2017-18,Cycle 2,Organic Carbon (OC),H,19980,133507,2017,"Financial Year (Apr - Mar), 2017"
1013,India,32,KERALA,2017-18,Cycle 2,Phosphorous (P),L,20895,133507,2017,"Financial Year (Apr - Mar), 2017"
1014,India,32,KERALA,2017-18,Cycle 2,Organic Carbon (OC),M,23292,133507,2017,"Financial Year (Apr - Mar), 2017"
1015,India,32,KERALA,2017-18,Cycle 2,Phosphorous (P),VL,28502,133507,2017,"Financial Year (Apr - Mar), 2017"
1016,India,32,KERALA,2017-18,Cycle 2,Potassium (K),H,28903,133507,2017,"Financial Year (Apr - Mar), 2017"
1017,India,32,KERALA,2017-18,Cycle 2,Potassium (K),L,29685,133507,2017,"Financial Year (Apr - Mar), 2017"
1018,India,32,KERALA,2017-18,Cycle 2,Potassium (K),M,56025,133507,2017,"Financial Year (Apr - Mar), 2017"
1019,India,32,KERALA,2017-18,Cycle 2,Phosphorous (P),M,57916,133507,2017,"Financial Year (Apr - Mar), 2017"
1020,India,32,KERALA,2017-18,Cycle 2,Organic Carbon (OC),VH,62648,133507,2017,"Financial Year (Apr - Mar), 2017"
1021,India,5,UTTARAKHAND,2017-18,Cycle 2,Nitrogen (N),VH,9,140058,2017,"Financial Year (Apr - Mar), 2017"
1022,India,5,UTTARAKHAND,2017-18,Cycle 2,Nitrogen (N),H,38,140058,2017,"Financial Year (Apr - Mar), 2017"
1023,India,5,UTTARAKHAND,2017-18,Cycle 2,Nitrogen (N),L,62,140058,2017,"Financial Year (Apr - Mar), 2017"
1024,India,5,UTTARAKHAND,2017-18,Cycle 2,Nitrogen (N),M,372,140058,2017,"Financial Year (Apr - Mar), 2017"
1025,India,5,UTTARAKHAND,2017-18,Cycle 2,Nitrogen (N),VL,2924,140058,2017,"Financial Year (Apr - Mar), 2017"
1026,India,5,UTTARAKHAND,2017-18,Cycle 2,Potassium (K),VH,4072,140058,2017,"Financial Year (Apr - Mar), 2017"
1027,India,5,UTTARAKHAND,2017-18,Cycle 2,Potassium (K),VL,5244,140058,2017,"Financial Year (Apr - Mar), 2017"
1028,India,5,UTTARAKHAND,2017-18,Cycle 2,Organic Carbon (OC),VL,8721,140058,2017,"Financial Year (Apr - Mar), 2017"
1029,India,5,UTTARAKHAND,2017-18,Cycle 2,Phosphorous (P),VH,14102,140058,2017,"Financial Year (Apr - Mar), 2017"
1030,India,5,UTTARAKHAND,2017-18,Cycle 2,Organic Carbon (OC),H,18227,140058,2017,"Financial Year (Apr - Mar), 2017"
1031,India,5,UTTARAKHAND,2017-18,Cycle 2,Organic Carbon (OC),VH,19495,140058,2017,"Financial Year (Apr - Mar), 2017"
1032,India,5,UTTARAKHAND,2017-18,Cycle 2,Phosphorous (P),VL,19596,140058,2017,"Financial Year (Apr - Mar), 2017"
1033,India,5,UTTARAKHAND,2017-18,Cycle 2,Potassium (K),H,20767,140058,2017,"Financial Year (Apr - Mar), 2017"
1034,India,5,UTTARAKHAND,2017-18,Cycle 2,Phosphorous (P),L,21506,140058,2017,"Financial Year (Apr - Mar), 2017"
1035,India,5,UTTARAKHAND,2017-18,Cycle 2,Potassium (K),L,27785,140058,2017,"Financial Year (Apr - Mar), 2017"
1036,India,5,UTTARAKHAND,2017-18,Cycle 2,Phosphorous (P),H,30159,140058,2017,"Financial Year (Apr - Mar), 2017"
1037,India,5,UTTARAKHAND,2017-18,Cycle 2,Organic Carbon (OC),L,44770,140058,2017,"Financial Year (Apr - Mar), 2017"
1038,India,5,UTTARAKHAND,2017-18,Cycle 2,Organic Carbon (OC),M,47981,140058,2017,"Financial Year (Apr - Mar), 2017"
1039,India,5,UTTARAKHAND,2017-18,Cycle 2,Phosphorous (P),M,55016,140058,2017,"Financial Year (Apr - Mar), 2017"
1040,India,5,UTTARAKHAND,2017-18,Cycle 2,Potassium (K),M,82596,140058,2017,"Financial Year (Apr - Mar), 2017"
1041,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Potassium (K),VH,891,148598,2017,"Financial Year (Apr - Mar), 2017"
1042,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Nitrogen (N),VL,2770,148598,2017,"Financial Year (Apr - Mar), 2017"
1043,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Phosphorous (P),VH,2908,148598,2017,"Financial Year (Apr - Mar), 2017"
1044,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Organic Carbon (OC),VL,4193,148598,2017,"Financial Year (Apr - Mar), 2017"
1045,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Phosphorous (P),H,8116,148598,2017,"Financial Year (Apr - Mar), 2017"
1046,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Nitrogen (N),H,8896,148598,2017,"Financial Year (Apr - Mar), 2017"
1047,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Nitrogen (N),VH,9889,148598,2017,"Financial Year (Apr - Mar), 2017"
1048,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Potassium (K),H,10718,148598,2017,"Financial Year (Apr - Mar), 2017"
1049,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Potassium (K),VL,11843,148598,2017,"Financial Year (Apr - Mar), 2017"
1050,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Nitrogen (N),L,17758,148598,2017,"Financial Year (Apr - Mar), 2017"
1051,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Organic Carbon (OC),L,21471,148598,2017,"Financial Year (Apr - Mar), 2017"
1052,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Phosphorous (P),VL,28796,148598,2017,"Financial Year (Apr - Mar), 2017"
1053,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Organic Carbon (OC),H,30219,148598,2017,"Financial Year (Apr - Mar), 2017"
1054,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Potassium (K),L,33474,148598,2017,"Financial Year (Apr - Mar), 2017"
1055,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Organic Carbon (OC),M,39511,148598,2017,"Financial Year (Apr - Mar), 2017"
1056,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Phosphorous (P),L,49730,148598,2017,"Financial Year (Apr - Mar), 2017"
1057,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Organic Carbon (OC),VH,52824,148598,2017,"Financial Year (Apr - Mar), 2017"
1058,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Phosphorous (P),M,58688,148598,2017,"Financial Year (Apr - Mar), 2017"
1059,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Nitrogen (N),M,64034,148598,2017,"Financial Year (Apr - Mar), 2017"
1060,India,1,JAMMU AND KASHMIR,2017-18,Cycle 2,Potassium (K),M,91207,148598,2017,"Financial Year (Apr - Mar), 2017"
1061,India,18,ASSAM,2017-18,Cycle 2,Potassium (K),VH,313,278719,2017,"Financial Year (Apr - Mar), 2017"
1062,India,18,ASSAM,2017-18,Cycle 2,Nitrogen (N),VH,333,278719,2017,"Financial Year (Apr - Mar), 2017"
1063,India,18,ASSAM,2017-18,Cycle 2,Phosphorous (P),VH,2442,278719,2017,"Financial Year (Apr - Mar), 2017"
1064,India,18,ASSAM,2017-18,Cycle 2,Phosphorous (P),H,4226,278719,2017,"Financial Year (Apr - Mar), 2017"
1065,India,18,ASSAM,2017-18,Cycle 2,Nitrogen (N),VL,6037,278719,2017,"Financial Year (Apr - Mar), 2017"
1066,India,18,ASSAM,2017-18,Cycle 2,Potassium (K),H,9206,278719,2017,"Financial Year (Apr - Mar), 2017"
1067,India,18,ASSAM,2017-18,Cycle 2,Organic Carbon (OC),VL,12497,278719,2017,"Financial Year (Apr - Mar), 2017"
1068,India,18,ASSAM,2017-18,Cycle 2,Organic Carbon (OC),H,26594,278719,2017,"Financial Year (Apr - Mar), 2017"
1069,India,18,ASSAM,2017-18,Cycle 2,Phosphorous (P),M,28985,278719,2017,"Financial Year (Apr - Mar), 2017"
1070,India,18,ASSAM,2017-18,Cycle 2,Potassium (K),M,51424,278719,2017,"Financial Year (Apr - Mar), 2017"
1071,India,18,ASSAM,2017-18,Cycle 2,Organic Carbon (OC),M,56575,278719,2017,"Financial Year (Apr - Mar), 2017"
1072,India,18,ASSAM,2017-18,Cycle 2,Nitrogen (N),M,61716,278719,2017,"Financial Year (Apr - Mar), 2017"
1073,India,18,ASSAM,2017-18,Cycle 2,Organic Carbon (OC),VH,77655,278719,2017,"Financial Year (Apr - Mar), 2017"
1074,India,18,ASSAM,2017-18,Cycle 2,Nitrogen (N),H,86436,278719,2017,"Financial Year (Apr - Mar), 2017"
1075,India,18,ASSAM,2017-18,Cycle 2,Potassium (K),L,89028,278719,2017,"Financial Year (Apr - Mar), 2017"
1076,India,18,ASSAM,2017-18,Cycle 2,Organic Carbon (OC),L,92016,278719,2017,"Financial Year (Apr - Mar), 2017"
1077,India,18,ASSAM,2017-18,Cycle 2,Phosphorous (P),L,93560,278719,2017,"Financial Year (Apr - Mar), 2017"
1078,India,18,ASSAM,2017-18,Cycle 2,Nitrogen (N),L,106032,278719,2017,"Financial Year (Apr - Mar), 2017"
1079,India,18,ASSAM,2017-18,Cycle 2,Potassium (K),VL,115309,278719,2017,"Financial Year (Apr - Mar), 2017"
1080,India,18,ASSAM,2017-18,Cycle 2,Phosphorous (P),VL,136087,278719,2017,"Financial Year (Apr - Mar), 2017"
1081,India,10,BIHAR,2017-18,Cycle 2,Nitrogen (N),H,179,474486,2017,"Financial Year (Apr - Mar), 2017"
1082,India,10,BIHAR,2017-18,Cycle 2,Nitrogen (N),VH,193,474486,2017,"Financial Year (Apr - Mar), 2017"
1083,India,10,BIHAR,2017-18,Cycle 2,Nitrogen (N),VL,2699,474486,2017,"Financial Year (Apr - Mar), 2017"
1084,India,10,BIHAR,2017-18,Cycle 2,Potassium (K),VH,3205,474486,2017,"Financial Year (Apr - Mar), 2017"
1085,India,10,BIHAR,2017-18,Cycle 2,Organic Carbon (OC),VH,3302,474486,2017,"Financial Year (Apr - Mar), 2017"
1086,India,10,BIHAR,2017-18,Cycle 2,Organic Carbon (OC),VL,4477,474486,2017,"Financial Year (Apr - Mar), 2017"
1087,India,10,BIHAR,2017-18,Cycle 2,Phosphorous (P),VH,6051,474486,2017,"Financial Year (Apr - Mar), 2017"
1088,India,10,BIHAR,2017-18,Cycle 2,Potassium (K),VL,9420,474486,2017,"Financial Year (Apr - Mar), 2017"
1089,India,10,BIHAR,2017-18,Cycle 2,Phosphorous (P),VL,9904,474486,2017,"Financial Year (Apr - Mar), 2017"
1090,India,10,BIHAR,2017-18,Cycle 2,Potassium (K),H,12127,474486,2017,"Financial Year (Apr - Mar), 2017"
1091,India,10,BIHAR,2017-18,Cycle 2,Phosphorous (P),H,18642,474486,2017,"Financial Year (Apr - Mar), 2017"
1092,India,10,BIHAR,2017-18,Cycle 2,Phosphorous (P),L,23885,474486,2017,"Financial Year (Apr - Mar), 2017"
1093,India,10,BIHAR,2017-18,Cycle 2,Potassium (K),L,25198,474486,2017,"Financial Year (Apr - Mar), 2017"
1094,India,10,BIHAR,2017-18,Cycle 2,Organic Carbon (OC),H,28423,474486,2017,"Financial Year (Apr - Mar), 2017"
1095,India,10,BIHAR,2017-18,Cycle 2,Organic Carbon (OC),L,55696,474486,2017,"Financial Year (Apr - Mar), 2017"
1096,India,10,BIHAR,2017-18,Cycle 2,Nitrogen (N),M,93019,474486,2017,"Financial Year (Apr - Mar), 2017"
1097,India,10,BIHAR,2017-18,Cycle 2,Nitrogen (N),L,131996,474486,2017,"Financial Year (Apr - Mar), 2017"
1098,India,10,BIHAR,2017-18,Cycle 2,Organic Carbon (OC),M,136298,474486,2017,"Financial Year (Apr - Mar), 2017"
1099,India,10,BIHAR,2017-18,Cycle 2,Phosphorous (P),M,169718,474486,2017,"Financial Year (Apr - Mar), 2017"
1100,India,10,BIHAR,2017-18,Cycle 2,Potassium (K),M,178251,474486,2017,"Financial Year (Apr - Mar), 2017"
1101,India,21,ODISHA,2017-18,Cycle 2,Nitrogen (N),VH,4,584770,2017,"Financial Year (Apr - Mar), 2017"
1102,India,21,ODISHA,2017-18,Cycle 2,Nitrogen (N),H,6,584770,2017,"Financial Year (Apr - Mar), 2017"
1103,India,21,ODISHA,2017-18,Cycle 2,Nitrogen (N),M,1046,584770,2017,"Financial Year (Apr - Mar), 2017"
1104,India,21,ODISHA,2017-18,Cycle 2,Nitrogen (N),L,1721,584770,2017,"Financial Year (Apr - Mar), 2017"
1105,India,21,ODISHA,2017-18,Cycle 2,Nitrogen (N),VL,2382,584770,2017,"Financial Year (Apr - Mar), 2017"
1106,India,21,ODISHA,2017-18,Cycle 2,Phosphorous (P),VH,15270,584770,2017,"Financial Year (Apr - Mar), 2017"
1107,India,21,ODISHA,2017-18,Cycle 2,Phosphorous (P),H,18528,584770,2017,"Financial Year (Apr - Mar), 2017"
1108,India,21,ODISHA,2017-18,Cycle 2,Potassium (K),VH,20729,584770,2017,"Financial Year (Apr - Mar), 2017"
1109,India,21,ODISHA,2017-18,Cycle 2,Organic Carbon (OC),VH,26682,584770,2017,"Financial Year (Apr - Mar), 2017"
1110,India,21,ODISHA,2017-18,Cycle 2,Potassium (K),VL,46706,584770,2017,"Financial Year (Apr - Mar), 2017"
1111,India,21,ODISHA,2017-18,Cycle 2,Organic Carbon (OC),H,51221,584770,2017,"Financial Year (Apr - Mar), 2017"
1112,India,21,ODISHA,2017-18,Cycle 2,Potassium (K),H,78251,584770,2017,"Financial Year (Apr - Mar), 2017"
1113,India,21,ODISHA,2017-18,Cycle 2,Organic Carbon (OC),VL,108134,584770,2017,"Financial Year (Apr - Mar), 2017"
1114,India,21,ODISHA,2017-18,Cycle 2,Phosphorous (P),M,131873,584770,2017,"Financial Year (Apr - Mar), 2017"
1115,India,21,ODISHA,2017-18,Cycle 2,Potassium (K),L,151395,584770,2017,"Financial Year (Apr - Mar), 2017"
1116,India,21,ODISHA,2017-18,Cycle 2,Organic Carbon (OC),M,153151,584770,2017,"Financial Year (Apr - Mar), 2017"
1117,India,21,ODISHA,2017-18,Cycle 2,Phosphorous (P),L,182559,584770,2017,"Financial Year (Apr - Mar), 2017"
1118,India,21,ODISHA,2017-18,Cycle 2,Phosphorous (P),VL,220028,584770,2017,"Financial Year (Apr - Mar), 2017"
1119,India,21,ODISHA,2017-18,Cycle 2,Organic Carbon (OC),L,229189,584770,2017,"Financial Year (Apr - Mar), 2017"
1120,India,21,ODISHA,2017-18,Cycle 2,Potassium (K),M,270800,584770,2017,"Financial Year (Apr - Mar), 2017"
1121,India,3,PUNJAB,2017-18,Cycle 2,Nitrogen (N),H,499,779271,2017,"Financial Year (Apr - Mar), 2017"
1122,India,3,PUNJAB,2017-18,Cycle 2,Nitrogen (N),VH,549,779271,2017,"Financial Year (Apr - Mar), 2017"
1123,India,3,PUNJAB,2017-18,Cycle 2,Nitrogen (N),L,1036,779271,2017,"Financial Year (Apr - Mar), 2017"
1124,India,3,PUNJAB,2017-18,Cycle 2,Nitrogen (N),M,1613,779271,2017,"Financial Year (Apr - Mar), 2017"
1125,India,3,PUNJAB,2017-18,Cycle 2,Organic Carbon (OC),H,3560,779271,2017,"Financial Year (Apr - Mar), 2017"
1126,India,3,PUNJAB,2017-18,Cycle 2,Organic Carbon (OC),VL,5960,779271,2017,"Financial Year (Apr - Mar), 2017"
1127,India,3,PUNJAB,2017-18,Cycle 2,Organic Carbon (OC),VH,7095,779271,2017,"Financial Year (Apr - Mar), 2017"
1128,India,3,PUNJAB,2017-18,Cycle 2,Phosphorous (P),VH,18712,779271,2017,"Financial Year (Apr - Mar), 2017"
1129,India,3,PUNJAB,2017-18,Cycle 2,Nitrogen (N),VL,25485,779271,2017,"Financial Year (Apr - Mar), 2017"
1130,India,3,PUNJAB,2017-18,Cycle 2,Potassium (K),VL,42402,779271,2017,"Financial Year (Apr - Mar), 2017"
1131,India,3,PUNJAB,2017-18,Cycle 2,Phosphorous (P),H,46295,779271,2017,"Financial Year (Apr - Mar), 2017"
1132,India,3,PUNJAB,2017-18,Cycle 2,Potassium (K),VH,50034,779271,2017,"Financial Year (Apr - Mar), 2017"
1133,India,3,PUNJAB,2017-18,Cycle 2,Phosphorous (P),VL,152116,779271,2017,"Financial Year (Apr - Mar), 2017"
1134,India,3,PUNJAB,2017-18,Cycle 2,Potassium (K),L,164830,779271,2017,"Financial Year (Apr - Mar), 2017"
1135,India,3,PUNJAB,2017-18,Cycle 2,Potassium (K),H,165857,779271,2017,"Financial Year (Apr - Mar), 2017"
1136,India,3,PUNJAB,2017-18,Cycle 2,Organic Carbon (OC),M,190805,779271,2017,"Financial Year (Apr - Mar), 2017"
1137,India,3,PUNJAB,2017-18,Cycle 2,Phosphorous (P),L,266470,779271,2017,"Financial Year (Apr - Mar), 2017"
1138,India,3,PUNJAB,2017-18,Cycle 2,Phosphorous (P),M,286560,779271,2017,"Financial Year (Apr - Mar), 2017"
1139,India,3,PUNJAB,2017-18,Cycle 2,Potassium (K),M,346804,779271,2017,"Financial Year (Apr - Mar), 2017"
1140,India,3,PUNJAB,2017-18,Cycle 2,Organic Carbon (OC),L,562631,779271,2017,"Financial Year (Apr - Mar), 2017"
1141,India,22,CHHATTISGARH,2017-18,Cycle 2,Nitrogen (N),VH,3243,949751,2017,"Financial Year (Apr - Mar), 2017"
1142,India,22,CHHATTISGARH,2017-18,Cycle 2,Nitrogen (N),H,9998,949751,2017,"Financial Year (Apr - Mar), 2017"
1143,India,22,CHHATTISGARH,2017-18,Cycle 2,Potassium (K),VH,22581,949751,2017,"Financial Year (Apr - Mar), 2017"
1144,India,22,CHHATTISGARH,2017-18,Cycle 2,Potassium (K),VL,26069,949751,2017,"Financial Year (Apr - Mar), 2017"
1145,India,22,CHHATTISGARH,2017-18,Cycle 2,Phosphorous (P),VH,58140,949751,2017,"Financial Year (Apr - Mar), 2017"
1146,India,22,CHHATTISGARH,2017-18,Cycle 2,Phosphorous (P),VL,75385,949751,2017,"Financial Year (Apr - Mar), 2017"
1147,India,22,CHHATTISGARH,2017-18,Cycle 2,Nitrogen (N),VL,82453,949751,2017,"Financial Year (Apr - Mar), 2017"
1148,India,22,CHHATTISGARH,2017-18,Cycle 2,Organic Carbon (OC),VH,84901,949751,2017,"Financial Year (Apr - Mar), 2017"
1149,India,22,CHHATTISGARH,2017-18,Cycle 2,Phosphorous (P),H,90442,949751,2017,"Financial Year (Apr - Mar), 2017"
1150,India,22,CHHATTISGARH,2017-18,Cycle 2,Potassium (K),L,93322,949751,2017,"Financial Year (Apr - Mar), 2017"
1151,India,22,CHHATTISGARH,2017-18,Cycle 2,Organic Carbon (OC),VL,104427,949751,2017,"Financial Year (Apr - Mar), 2017"
1152,India,22,CHHATTISGARH,2017-18,Cycle 2,Organic Carbon (OC),H,105714,949751,2017,"Financial Year (Apr - Mar), 2017"
1153,India,22,CHHATTISGARH,2017-18,Cycle 2,Nitrogen (N),M,219849,949751,2017,"Financial Year (Apr - Mar), 2017"
1154,India,22,CHHATTISGARH,2017-18,Cycle 2,Phosphorous (P),L,249406,949751,2017,"Financial Year (Apr - Mar), 2017"
1155,India,22,CHHATTISGARH,2017-18,Cycle 2,Organic Carbon (OC),M,284758,949751,2017,"Financial Year (Apr - Mar), 2017"
1156,India,22,CHHATTISGARH,2017-18,Cycle 2,Potassium (K),H,296929,949751,2017,"Financial Year (Apr - Mar), 2017"
1157,India,22,CHHATTISGARH,2017-18,Cycle 2,Organic Carbon (OC),L,377043,949751,2017,"Financial Year (Apr - Mar), 2017"
1158,India,22,CHHATTISGARH,2017-18,Cycle 2,Phosphorous (P),M,483417,949751,2017,"Financial Year (Apr - Mar), 2017"
1159,India,22,CHHATTISGARH,2017-18,Cycle 2,Potassium (K),M,517965,949751,2017,"Financial Year (Apr - Mar), 2017"
1160,India,22,CHHATTISGARH,2017-18,Cycle 2,Nitrogen (N),L,641734,949751,2017,"Financial Year (Apr - Mar), 2017"
1161,India,36,TELANGANA,2017-18,Cycle 2,Nitrogen (N),VH,3600,1068820,2017,"Financial Year (Apr - Mar), 2017"
1162,India,36,TELANGANA,2017-18,Cycle 2,Nitrogen (N),H,13146,1068820,2017,"Financial Year (Apr - Mar), 2017"
1163,India,36,TELANGANA,2017-18,Cycle 2,Phosphorous (P),VL,59183,1068820,2017,"Financial Year (Apr - Mar), 2017"
1164,India,36,TELANGANA,2017-18,Cycle 2,Potassium (K),VH,59483,1068820,2017,"Financial Year (Apr - Mar), 2017"
1165,India,36,TELANGANA,2017-18,Cycle 2,Organic Carbon (OC),VH,66012,1068820,2017,"Financial Year (Apr - Mar), 2017"
1166,India,36,TELANGANA,2017-18,Cycle 2,Potassium (K),VL,115492,1068820,2017,"Financial Year (Apr - Mar), 2017"
1167,India,36,TELANGANA,2017-18,Cycle 2,Potassium (K),L,141934,1068820,2017,"Financial Year (Apr - Mar), 2017"
1168,India,36,TELANGANA,2017-18,Cycle 2,Organic Carbon (OC),VL,145061,1068820,2017,"Financial Year (Apr - Mar), 2017"
1169,India,36,TELANGANA,2017-18,Cycle 2,Organic Carbon (OC),H,145549,1068820,2017,"Financial Year (Apr - Mar), 2017"
1170,India,36,TELANGANA,2017-18,Cycle 2,Nitrogen (N),M,161603,1068820,2017,"Financial Year (Apr - Mar), 2017"
1171,India,36,TELANGANA,2017-18,Cycle 2,Phosphorous (P),L,161769,1068820,2017,"Financial Year (Apr - Mar), 2017"
1172,India,36,TELANGANA,2017-18,Cycle 2,Phosphorous (P),H,182866,1068820,2017,"Financial Year (Apr - Mar), 2017"
1173,India,36,TELANGANA,2017-18,Cycle 2,Phosphorous (P),VH,187908,1068820,2017,"Financial Year (Apr - Mar), 2017"
1174,India,36,TELANGANA,2017-18,Cycle 2,Organic Carbon (OC),M,199913,1068820,2017,"Financial Year (Apr - Mar), 2017"
1175,India,36,TELANGANA,2017-18,Cycle 2,Nitrogen (N),VL,245278,1068820,2017,"Financial Year (Apr - Mar), 2017"
1176,India,36,TELANGANA,2017-18,Cycle 2,Potassium (K),H,336066,1068820,2017,"Financial Year (Apr - Mar), 2017"
1177,India,36,TELANGANA,2017-18,Cycle 2,Potassium (K),M,376168,1068820,2017,"Financial Year (Apr - Mar), 2017"
1178,India,36,TELANGANA,2017-18,Cycle 2,Phosphorous (P),M,429785,1068820,2017,"Financial Year (Apr - Mar), 2017"
1179,India,36,TELANGANA,2017-18,Cycle 2,Organic Carbon (OC),L,468869,1068820,2017,"Financial Year (Apr - Mar), 2017"
1180,India,36,TELANGANA,2017-18,Cycle 2,Nitrogen (N),L,608733,1068820,2017,"Financial Year (Apr - Mar), 2017"
1181,India,33,TAMIL NADU,2017-18,Cycle 2,Nitrogen (N),H,218,1330125,2017,"Financial Year (Apr - Mar), 2017"
1182,India,33,TAMIL NADU,2017-18,Cycle 2,Nitrogen (N),VH,777,1330125,2017,"Financial Year (Apr - Mar), 2017"
1183,India,33,TAMIL NADU,2017-18,Cycle 2,Organic Carbon (OC),VH,12615,1330125,2017,"Financial Year (Apr - Mar), 2017"
1184,India,33,TAMIL NADU,2017-18,Cycle 2,Organic Carbon (OC),H,30715,1330125,2017,"Financial Year (Apr - Mar), 2017"
1185,India,33,TAMIL NADU,2017-18,Cycle 2,Potassium (K),VL,33777,1330125,2017,"Financial Year (Apr - Mar), 2017"
1186,India,33,TAMIL NADU,2017-18,Cycle 2,Nitrogen (N),M,34256,1330125,2017,"Financial Year (Apr - Mar), 2017"
1187,India,33,TAMIL NADU,2017-18,Cycle 2,Potassium (K),L,138361,1330125,2017,"Financial Year (Apr - Mar), 2017"
1188,India,33,TAMIL NADU,2017-18,Cycle 2,Potassium (K),VH,139480,1330125,2017,"Financial Year (Apr - Mar), 2017"
1189,India,33,TAMIL NADU,2017-18,Cycle 2,Phosphorous (P),VL,169831,1330125,2017,"Financial Year (Apr - Mar), 2017"
1190,India,33,TAMIL NADU,2017-18,Cycle 2,Phosphorous (P),H,174910,1330125,2017,"Financial Year (Apr - Mar), 2017"
1191,India,33,TAMIL NADU,2017-18,Cycle 2,Phosphorous (P),VH,202740,1330125,2017,"Financial Year (Apr - Mar), 2017"
1192,India,33,TAMIL NADU,2017-18,Cycle 2,Organic Carbon (OC),M,204186,1330125,2017,"Financial Year (Apr - Mar), 2017"
1193,India,33,TAMIL NADU,2017-18,Cycle 2,Organic Carbon (OC),VL,317657,1330125,2017,"Financial Year (Apr - Mar), 2017"
1194,India,33,TAMIL NADU,2017-18,Cycle 2,Potassium (K),H,342188,1330125,2017,"Financial Year (Apr - Mar), 2017"
1195,India,33,TAMIL NADU,2017-18,Cycle 2,Phosphorous (P),L,343577,1330125,2017,"Financial Year (Apr - Mar), 2017"
1196,India,33,TAMIL NADU,2017-18,Cycle 2,Nitrogen (N),VL,396110,1330125,2017,"Financial Year (Apr - Mar), 2017"
1197,India,33,TAMIL NADU,2017-18,Cycle 2,Phosphorous (P),M,442286,1330125,2017,"Financial Year (Apr - Mar), 2017"
1198,India,33,TAMIL NADU,2017-18,Cycle 2,Potassium (K),M,679446,1330125,2017,"Financial Year (Apr - Mar), 2017"
1199,India,33,TAMIL NADU,2017-18,Cycle 2,Organic Carbon (OC),L,767944,1330125,2017,"Financial Year (Apr - Mar), 2017"
1200,India,33,TAMIL NADU,2017-18,Cycle 2,Nitrogen (N),L,902140,1330125,2017,"Financial Year (Apr - Mar), 2017"
1201,India,6,HARYANA,2017-18,Cycle 2,Nitrogen (N),H,7,1356297,2017,"Financial Year (Apr - Mar), 2017"
1202,India,6,HARYANA,2017-18,Cycle 2,Nitrogen (N),VH,326,1356297,2017,"Financial Year (Apr - Mar), 2017"
1203,India,6,HARYANA,2017-18,Cycle 2,Nitrogen (N),M,452,1356297,2017,"Financial Year (Apr - Mar), 2017"
1204,India,6,HARYANA,2017-18,Cycle 2,Organic Carbon (OC),H,1733,1356297,2017,"Financial Year (Apr - Mar), 2017"
